Job Class,Percentage,Link
Management,6.1,https://www.managementstudyguide.com/what-is-management.htm
Business and Financial operations,5,https://www.investopedia.com/articles/financial-career-options.asp
Computer and Mathematical,2.7,https://www.coursera.org/courses?query=computer%20science
Architecture and Engineering,1.7,https://www.architecture.com/
"Life, Physical and Social Science",0.9,https://www.bls.gov/ooh/life-physical-and-social-science/home.htm
Community and Social Service,1.6,https://www.socialworkguide.org/careers/
Legal,0.8,https://www.americanbar.org/
"Education, training and library",6.1,https://www.education.com/
"Arts, design, entertainment, sports and media",1.7,https://www.creativebloq.com/
Healthcare practitioners and technical,5.5,https://www.healthcareers.nhs.uk/
Healthcare support,2.8,https://www.nurse.com/careers
Protective service,2.3,https://www.securitydegreehub.com/
Food preparation and serving,8.3,https://www.restaurant.org/
Building and grounds cleaning and maintenance,3.7,https://www.indeed.com/q-Building-and-Grounds-Cleaning-and-Maintenance-jobs.html
Personal care and service,4,https://www.onetonline.org/link/summary/39-9099.00
Sales,10.2,https://www.salesforce.com/resources/articles/what-is-sales/
Office and administrative support,15.1,https://www.thebalancecareers.com/administrative-job-titles-2061491
"Farming, fishing and forestry",0.6,https://www.farminguk.com/
Construction and extraction,4.3,https://www.construction.com/
"Installation, maintenance and repair",3.8,https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm
Production,6.1,https://www.manufacturing.net/
Transportation and material moving,6.5,https://www.bls.gov/ooh/transportation-and-material-moving/home.htm
Total,99.8,

